License,TeamName,OrganizationName,City,State,Country,Division
15A,Crescent Elementary,CRESCENT ELEMENTARY,Anaheim,California,United States,Math
114C,Arctic Narwhals,KANESVILLE SCHOOL,West Haven,Utah,United States,Math
331B,Bloopin' Bots,ROBERT WILLIS ELEMENTARY SCHOOL,Bradenton,Florida,United States,Math
463J,dolphins,OPPE ELEMENTARY SCHOOL,Galveston,Texas,United States,Math
802C,Savage Dragons,HENRY BAUERSCHLAG ELEMENTARY SCHOOL,League City,Texas,United States,Math
839Z,// Caution Tape Zulu //,Caution Tape Robotics ////,Markham,Ontario,Canada,Math
988A,Theorycraft,Sydney Robotics Academy,Chatswood,,Australia,Math
1140X,Discobots,Brampton Robotics Education,Brampton,Ontario,Canada,Math
1705A,Pretty Fun Robotics,Pretty Fun Robotics Academy,Oro-Medonte,Ontario,Canada,Math
2014S,The Cherry Bombs,Sandpiper School,Redwood City,California,United States,Math
2316W,Happily Ever Disaster,Hall Fletcher Elementary,Asheville,North Carolina,United States,Math
2718Z,Mechaneers,Hawaii Science & Technology Museum,Hilo,Hawaii,United States,Math
3207B,Strikers,Magikid Robotics Lab,Diamond Bar,California,United States,Math
3707B,Cherokee Bend Team B,Mountain Brook Machines-CBS,Mountain Brook,Alabama,United States,Math
5017F,Squirrel Force,Greenwich Academy,GREENWICH,Connecticut,United States,Math
6054C,Mustangs3,LAKE AGASSIZ ELEMENTARY SCHOOL,Grand Forks,North Dakota,United States,Math
6855C,Warrior Engineers,"WESTMINSTER CHRISTIAN PRIVATE SCHOOL, INC.",Miami,Florida,United States,Math
7500C,Uni-echidnas,David E Norman Elementary School,Ely,Nevada,United States,Math
7707G,Steel Eagles - Girl Power,Pleasant View Elementary Zionsville,Zionsville,Indiana,United States,Math
8217A,PumaPower,ROSA PARKS ELEMENTARY,Redmond,Washington,United States,Math
9295B,9295B,Lord Baltimore Elementary School,Ocean View,Delaware,United States,Math
10142Y,Green Tigers Team Y,MANOA ELEMENTARY SCHOOL,Honolulu,Hawaii,United States,Math
10404D,Cold Spring,COLD SPRING SCHOOL,Indianapolis,Indiana,United States,Math
10692D,"Whitlow Robo Wolves - Team D",GEORGE W. WHITLOW ELEMENTARY,Cumming,Georgia,United States,Math
11109C,OE Robot Squad,Oaklandon,Indianapolis,Indiana,United States,Math
11860E,Brentwood Bots E,BRENTWOOD ELEMENTARY SCHOOL,Plainfield,Indiana,United States,Math
13301A,Central CyberDAWGS,CLINTON CENTRAL ELEMENTARY SCHOOL,Michigantown,Indiana,United States,Math
14828A,Davis Connect Lynx,Davis Connect,Layton,Utah,United States,Math
17760E,Newtons,Capitol City Robotics,Washington,District of Columbia,United States,Math
19055C,Robo-Eagles,Hillside Academy For Excel,GARLAND,Texas,United States,Math
20002B,The Ender Dragons,Mankato Community Education Department,Mankato,Minnesota,United States,Math
20762D,InvestiGATORS,Guion Creek Elementary School,Indianapolis,Indiana,United States,Math
22072C,TechnicaLEE Bots,FRANCES AND JEANNETTE LEE ELEMENTARY SCHOOL,Caddo Mills,Texas,United States,Math
26194A,TechnoLions Black,LEO ELEMENTARY SCHOOL,Leo,Indiana,United States,Math
30077A,Robo Royals,BILOXI UPPER ELEMENTARY,Biloxi,Mississippi,United States,Math
31186A,Roadbot Runners A,PIONEER SCHOOL,Ogden,Utah,United States,Math
33310F,CyBroBots,AMY PARKS-HEATH ELEMENTARY SCHOOL,Heath,Texas,United States,Math
35884A,BRAVES,COMBRE-FONDEL ELEMENTARY SCHOOL,Lake Charles,Louisiana,United States,Math
38636B,Eagletronics,ARLINGTON ELEMENTARY/MIDDLE,Baltimore,Maryland,United States,Math
40693S,FBI Destroyers,Gillette College,Gillette,Wyoming,United States,Math
45708B,Spongebots Model S,Charles O Stones Intermediate Center,Garden City,Kansas,United States,Math
52654A,The Victorians,NORTHERN ELEMENTARY SCHOOL,Georgetown,Kentucky,United States,Math
53976B,Tara Oaks Tigerbots,TARA OAKS ELEMENTARY SCHOOL,Collierville,Tennessee,United States,Math
57224C,Robostars,Sherry and Paul Hamm Elementary,Rockwall,Texas,United States,Math
61187A,AR: Gear Grinders,Allendale Robotics,Allendale,Michigan,United States,Math
64000A,Chapelwood A,Chapelwood Elementary School,Indianapolis,Indiana,United States,Math
67846A,Jr. Drubs Sr.,Great Plains MakerSpace - Growing Engineering And Robotics (GEAR),Garden City,Kansas,United States,Math
71100A,Elite Engineers,Poole's Mill Elementary,Cumming,Georgia,United States,Math
72801A,Stormbots 1,Russellville Intermediate School,RUSSELLVIL LE,Arkansas,United States,Math
78335H,Tacticians,Pine Crest School,Boca Raton,Florida,United States,Math
80602A,Buff Bots,STAMPING GROUND ELEMENTARY SCHOOL,Stamping Ground,Kentucky,United States,Math
83660B,Husky Bots,Horace Mann Elementary School,Huntington,Indiana,United States,Math
85571C,BIA OWL's,"BALTIMORE INTERNATIONAL
ACADEMY",Baltimore,Maryland,United States,Math
91113X,Double Trouble,Silver Valley Automation,Traverse City,Michigan,United States,Math
92923C,McNary,Mcnary Elementary School,McNary,Arizona,United States,Math
94537Y,GALE,Wiles Elementary,Gainesville,Florida,United States,Math
96627D,Sharp Creek Black Norsebot,SHARP CREEK ELEMENTARY SCHOOL,Wabash,Indiana,United States,Math
99777G,Technic Girlz,Gilbert Homeschool Robotics Club,Gilbert,Arizona,United States,Math
28T,MindStorm,Robot Revolution,Summit,New Jersey,United States,Arts
224G,Winnetka Girl Powered,WINNETKA ELEMENTARY,DALLAS,Texas,United States,Arts
437G,The Global Bots,Alliance robotics,Roosevelt,Utah,United States,Arts
670A,Milky way,DOHSCHOOL,Setagaya Tokyo,,Japan,Arts
810D,Goforth Robotics,ART AND PAT GOFORTH ELEMENTARY SCHOOL,League City,Texas,United States,Arts
878A,Golden Wind,Sydney Robotics Academy,chatswood,,Australia,Arts
1012X,Ten Ton Robotics,West Vancouver Schools,West Vancouver,British Columbia,Canada,Arts
1251G,LadyBots,CASA VIEW ELEMENTARY SCHOOL,Dallas,Texas,United States,Arts
1877A,Serial Bots,STEAM Bot Workshop,LOS ANGELES,California,United States,Arts
2221C,Duck Springs Mechanics,Duck Springs Elementary School,Attalla,Alabama,United States,Arts
2626P,The 5 Pandateers,ST FRANCIS XAVIER Middle SCHOOL,Appleton,Wisconsin,United States,Arts
2952B,LMJ,mySTEMbuddy,Naperville,Illinois,United States,Arts
3547R,VIRUS: Thunder,Technolgy First,Monroe,Michigan,"United States",Arts
4112A,Kool-Aid Jammers,JOHN MCINTIRE ELEMENTARY SCHOOL,Zanesville,Ohio,United States,Arts
5280P,Perfect Pitchers,SOARING HEIGHTS PK-8,Erie,Colorado,United States,Arts
6576B,Kermit Crafters,GATEWAY SCIENCE ACAD/ST LOUIS,ST. Louis,Missouri,United States,Arts
6900P,Quasar,Vinci Robotics Academy,Burlington,Massachuset ts,United States,Arts
7700H,Rolling Robots,Rolling Robots Glendale,Glendale,California,United States,Arts
7919G,Tritt United Robotics,Tritt Elementary School,Marietta,Georgia,United States,Arts
8390Z,// Caution Tape Zap //,Caution Tape Robotics ////,Markham,Ontario,Canada,Arts
9753A,The Fire Breathing Rubber Duckies,BrambletonKids,Ashburn,Virginia,United States,Arts
10277D,MacRobotics-Red,Douglas Macarthur Elementary School,Cedar Lake,Indiana,United States,Arts
10511B,Betabots,CYPRESS RIDGE ELEMENTARY SCHOOL,Clermont,Florida,United States,Arts
10904B,RoboRavens White,IRVINGTON COMMUNITY SCHOOL,Indianapolis,Indiana,United States,Arts
11450K,RMS Lions,RAVENSWOOD MIDDLE,East Palo Alto,California,United States,Arts
12109B,PES Circuit Jokers,PETERSBURG ELEMENTARY SCHOOL,Petersburg,Indiana,United States,Arts
14012X,Vex Angels,Pinecrest Lakes Academy - Elementary School,Clermont,Florida,United States,Arts
16329A,Eagles,MARLAN J. WALKER ELEMENTARY,Henderson,Nevada,United States,Arts
18347D,Trailblazer Black,DISCOVERY ELEMENTARY SCHOOL,Grand Forks,North Dakota,United States,Arts
19901A,Cooley Tigers,T. S. COOLEY ELEMENTARY MAGNET SCHOOL,Lake Charles,Louisiana,United States,Arts
20532B,Roaring Dragons,ESPERANZA MEDRANO ELEMENTARY SCHOOL,Dallas,Texas,United States,Arts
